['Time':2016-09-01 09:10:28,'Commit:'onlineDuration]{490}
['Time':2016-09-01 09:10:30,'Commit:'onlineDuration]{0}
['Time':2016-09-01 09:10:56,'Commit:'onlineDuration]{0}
['Time':2016-09-01 09:13:54,'Commit:'writeBlog]{3750}
['Time':2016-09-01 09:14:26,'Commit:'onlineDuration]{105}
['Time':2016-09-01 09:14:31,'Commit:'onlineDuration]{0}
['Time':2016-09-01 10:43:15,'Commit:'onlineDuration]{2520}
['Time':2016-09-01 11:59:02,'Commit:'onlineDuration]{1148}
['Time':2016-09-01 11:59:02,'Commit:'onlineDuration]{5215}
