['Time':2016-10-30 11:51:15,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:51:23,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:51:34,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:51:40,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:51:53,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:52:23,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:52:30,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:52:46,'Commit:'onlineDuration]{0}
['Time':2016-10-30 11:55:40,'Commit:'onlineDuration]{84}
['Time':2016-10-30 11:56:31,'Commit:'onlineDuration]{0}
['Time':2016-10-30 15:05:23,'Commit:'onlineDuration]{427}
['Time':2016-10-30 16:30:20,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:30:49,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:31:05,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:31:13,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:31:34,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:32:06,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:32:13,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:34:13,'Commit:'onlineDuration]{35}
['Time':2016-10-30 16:35:49,'Commit:'onlineDuration]{35}
['Time':2016-10-30 16:36:09,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:36:26,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:39:39,'Commit:'onlineDuration]{105}
['Time':2016-10-30 16:39:44,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:39:52,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:44:58,'Commit:'onlineDuration]{175}
['Time':2016-10-30 16:45:00,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:45:18,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:45:26,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:45:31,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:45:52,'Commit:'onlineDuration]{0}
['Time':2016-10-30 16:55:59,'Commit:'onlineDuration]{350}
['Time':2016-10-30 16:56:10,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:14:40,'Commit:'onlineDuration]{735}
['Time':2016-10-30 17:16:33,'Commit:'onlineDuration]{35}
['Time':2016-10-30 17:16:53,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:19:12,'Commit:'onlineDuration]{70}
['Time':2016-10-30 17:19:24,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:19:31,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:19:47,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:19:58,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:20:05,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:20:16,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:20:24,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:20:45,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:20:59,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:21:27,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:21:39,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:21:58,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:22:30,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:22:35,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:22:46,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:34:45,'Commit:'onlineDuration]{385}
['Time':2016-10-30 17:35:02,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:35:14,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:35:23,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:35:50,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:36:01,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:36:12,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:36:16,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:36:39,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:36:41,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:36:52,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:36:53,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:36:57,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:37:05,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:37:13,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:38:38,'Commit:'onlineDuration]{35}
['Time':2016-10-30 17:38:52,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:39:02,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:39:15,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:39:21,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:39:30,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:39:42,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:40:05,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:40:33,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:41:06,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:41:13,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:41:28,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:41:35,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:41:58,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:42:45,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:43:05,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:43:06,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:43:13,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:43:21,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:43:38,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:44:11,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:45:02,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:45:19,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:45:26,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:45:31,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:45:38,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:45:51,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:46:09,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:46:47,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:47:12,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:47:20,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:47:39,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:47:55,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:48:04,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:48:10,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:48:20,'Commit:'onlineDuration]{0}
['Time':2016-10-30 17:48:39,'Commit:'onlineDuration]{0}
['Time':2016-10-30 19:18:31,'Commit:'onlineDuration]{2751}
['Time':2016-10-30 19:18:31,'Commit:'onlineDuration]{2107}
['Time':2016-10-30 20:02:37,'Commit:'onlineDuration]{56}
['Time':2016-10-30 20:02:38,'Commit:'onlineDuration]{56}
['Time':2016-10-30 20:02:55,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:03:01,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:15:22,'Commit:'onlineDuration]{672}
['Time':2016-10-30 20:15:26,'Commit:'onlineDuration]{0}
['Time':2016-10-30 20:15:30,'Commit:'onlineDuration]{0}
